105/07/18,"8,952.61","9,008.21","8,952.61","9,008.21"
105/07/19,"9,018.80","9,034.87","8,972.83","9,034.87"
105/07/20,"9,013.52","9,034.13","8,969.19","9,007.68"
105/07/21,"9,010.22","9,075.89","9,009.79","9,056.56"
105/07/22,"9,055.17","9,060.15","9,004.24","9,013.14"
105/07/25,"9,030.36","9,085.91","8,916.05","8,991.67"
105/07/26,"8,983.55","9,024.79","8,960.48","9,024.79"
105/07/27,"9,058.19","9,084.90","9,042.14","9,063.39"
105/07/28,"9,060.48","9,081.40","9,015.35","9,076.64"
105/07/29,"9,066.37","9,071.51","8,984.41","8,984.41"
105/08/01,"9,008.74","9,080.71","9,008.74","9,080.71"
105/08/02,"9,081.06","9,086.42","9,052.71","9,068.76"
105/08/03,"9,000.82","9,033.95","8,948.40","9,001.71"
105/08/04,"9,009.29","9,035.25","8,972.31","9,024.71"
105/08/05,"9,025.76","9,101.71","9,023.23","9,092.12"
105/08/08,"9,123.07","9,153.99","9,104.43","9,150.26"
105/08/09,"9,154.00","9,168.34","9,127.63","9,155.08"
105/08/10,"9,160.94","9,200.42","9,131.63","9,200.42"
105/08/11,"9,168.70","9,187.18","9,063.81","9,131.83"
105/08/12,"9,135.34","9,173.72","9,135.34","9,150.39"
105/08/15,"9,152.36","9,162.02","9,117.26","9,148.51"
105/08/16,"9,146.09","9,165.58","9,082.34","9,110.36"
105/08/17,"9,121.18","9,133.07","9,073.27","9,117.70"
105/08/18,"9,104.88","9,128.80","9,093.51","9,122.50"
105/08/19,"9,139.69","9,175.13","9,034.27","9,034.27"
105/08/22,"9,004.68","9,012.72","8,928.33","8,981.81"
105/08/23,"8,987.07","9,046.30","8,986.76","9,030.93"
105/08/24,"9,043.13","9,054.76","9,016.39","9,017.38"
105/08/25,"9,034.47","9,115.47","9,031.34","9,115.47"
105/08/26,"9,097.02","9,131.72","9,092.08","9,131.72"
105/08/29,"9,117.53","9,136.42","9,027.35","9,110.17"
105/08/30,"9,113.34","9,134.37","9,093.87","9,110.56"
105/08/31,"9,122.19","9,130.76","9,044.50","9,068.85"
105/09/01,"9,055.73","9,069.13","8,980.21","9,001.15"
105/09/02,"9,015.63","9,038.48","8,958.81","8,987.55"
105/09/05,"9,032.38","9,100.05","9,032.38","9,090.13"
105/09/06,"9,102.83","9,181.85","9,098.60","9,181.85"
105/09/07,"9,202.23","9,278.88","9,202.23","9,259.07"
105/09/08,"9,241.95","9,273.57","9,224.89","9,262.89"
105/09/09,"9,217.37","9,217.37","9,142.13","9,164.88"
105/09/10,"9,084.81","9,084.81","9,025.53","9,053.69"
105/09/12,"9,031.51","9,031.51","8,947.06","8,947.06"
105/09/13,"8,983.95","9,014.75","8,885.55","8,940.83"
105/09/14,"8,913.11","8,965.32","8,895.85","8,902.30"
105/09/19,"9,003.41","9,155.38","9,003.41","9,152.88"
105/09/20,"9,141.21","9,173.46","9,130.90","9,161.58"
105/09/21,"9,141.92","9,228.50","9,133.16","9,228.50"
105/09/22,"9,265.28","9,290.76","9,207.41","9,235.26"
105/09/23,"9,240.25","9,284.62","9,228.66","9,284.62"
105/09/26,"9,229.34","9,229.34","9,189.49","9,194.52"
105/09/29,"9,241.61","9,303.13","9,238.49","9,270.90"
105/09/30,"9,240.44","9,240.65","9,160.91","9,166.85"
105/10/03,"9,219.52","9,256.58","9,212.38","9,234.20"
105/10/04,"9,228.66","9,287.77","9,224.45","9,287.77"
105/10/05,"9,260.69","9,276.13","9,244.41","9,272.28"
105/10/06,"9,263.40","9,284.31","9,242.83","9,284.31"
